Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Imperial Police Dept,CA,12,      15943,           7,           0,           0,,           1,           6,          86,          18,          53,          15,          43.9,            .0,            .0,,           6.3,          37.6,         539.4,         112.9,         332.4,          94.1
Indio Police Dept,CA,12,      80243,         468,           1,          34,,         120,         313,       2699,         792,       1335,         572,         583.2,           1.2,          42.4,,         149.5,         390.1,       3363.5,         987.0,       1663.7,         712.8
Inglewood Police Dept,CA,12,     111672,         739,          14,          29,,         326,         370,       2718,         637,       1441,         640,         661.8,          12.5,          26.0,,         291.9,         331.3,       2433.9,         570.4,       1290.4,         573.1
Irvine Police Department,CA,12,     235830,         113,           2,          12,,          38,          61,       3285,         583,       2553,         149,          47.9,            .8,           5.1,,          16.1,          25.9,       1393.0,         247.2,       1082.6,          63.2
Jurupa Valley,CA,12,      98090,         267,           3,          12,,          75,         177,       3065,         570,       1732,         763,         272.2,           3.1,          12.2,,          76.5,         180.4,       3124.7,         581.1,       1765.7,         777.9
Kerman Police Dept,CA,12,      14543,          45,           0,           2,,           9,          34,         436,         120,         233,          83,         309.4,            .0,          13.8,,          61.9,         233.8,       2998.0,         825.1,       1602.1,         570.7
Kern County Sheriff Department,CA,12,,       2157,          23,          92,,         409,       1633,      10641,       3859,       5044,       1738,,,,,,,,,,
King City Police Dept,CA,12,      13260,          68,           5,           0,,          20,          43,         201,          84,          93,          24,         512.8,          37.7,            .0,,         150.8,         324.3,       1515.8,         633.5,         701.4,         181.0
Kings County Sheriff Department,CA,12,,         171,           4,          12,,          16,         139,         593,         235,         303,          55,,,,,,,,,,
Kingsburg Police Dept,CA,12,      11651,          23,           0,           3,,           2,          18,         327,         111,         162,          54,         197.4,            .0,          25.7,,          17.2,         154.5,       2806.6,         952.7,       1390.4,         463.5
La Canada-Flintridge,CA,12,      20572,          12,           0,           0,,           3,           9,         303,          96,         196,          11,          58.3,            .0,            .0,,          14.6,          43.7,       1472.9,         466.7,         952.8,          53.5
La Habra Police Dept,CA,12,      61740,          88,           0,           8,,          33,          47,       1155,         185,         856,         114,         142.5,            .0,          13.0,,          53.4,          76.1,       1870.7,         299.6,       1386.5,         184.6
Lamesa Police Dept,CA,12,      58482,         181,           1,           7,,          64,         109,       1968,         354,       1381,         233,         309.5,           1.7,          12.0,,         109.4,         186.4,       3365.1,         605.3,       2361.4,         398.4
La Mirada,CA,12,      49150,          72,           1,           9,,          14,          48,         841,         207,         520,         114,         146.5,           2.0,          18.3,,          28.5,          97.7,       1711.1,         421.2,       1058.0,         231.9
La Palma Police Dept,CA,12,      15950,          10,           0,           0,,           8,           2,         326,          80,         221,          25,          62.7,            .0,            .0,,          50.2,          12.5,       2043.9,         501.6,       1385.6,         156.7
La Puente,CA,12,      40415,         143,           3,          12,,          48,          80,         493,         149,         219,         125,         353.8,           7.4,          29.7,,         118.8,         197.9,       1219.8,         368.7,         541.9,         309.3
La Quinta,CA,12,      39150,          68,           0,           5,,          26,          37,       1494,         402,       1002,          90,         173.7,            .0,          12.8,,          66.4,          94.5,       3816.1,       1026.8,       2559.4,         229.9
La Verne Police Dept,CA,12,      31439,          37,           0,           1,,          21,          15,         753,         158,         548,          47,         117.7,            .0,           3.2,,          66.8,          47.7,       2395.1,         502.6,       1743.1,         149.5
Lafayette,CA,12,      24829,          21,           0,           0,,           6,          15,         413,         110,         275,          28,          84.6,            .0,            .0,,          24.2,          60.4,       1663.4,         443.0,       1107.6,         112.8
Laguna Beach Police Dept,CA,12,      23313,          41,           0,           3,,           5,          33,         469,          87,         356,          26,         175.9,            .0,          12.9,,          21.4,         141.6,       2011.8,         373.2,       1527.0,         111.5
Laguna Hills,CA,12,      31134,          53,           0,           3,,          12,          38,         508,          75,         390,          43,         170.2,            .0,           9.6,,          38.5,         122.1,       1631.7,         240.9,       1252.6,         138.1
Laguena Niguel,CA,12,      64894,          57,           0,           4,,          13,          40,         624,          95,         500,          29,          87.8,            .0,           6.2,,          20.0,          61.6,         961.6,         146.4,         770.5,          44.7
Laguna Woods,CA,12,      16584,           5,           0,           2,,           1,           2,         132,          22,         100,          10,          30.1,            .0,          12.1,,           6.0,          12.1,         795.9,         132.7,         603.0,          60.3
Lake County Sheriff Department,CA,12,,         216,           2,          16,,          29,         169,         759,         373,         380,           6,,,,,,,,,,
Lake Elsinore,CA,12,      56232,         103,           3,           2,,          32,          66,       1494,         418,         858,         218,         183.2,           5.3,           3.6,,          56.9,         117.4,       2656.9,         743.3,       1525.8,         387.7
Lake Forest,CA,12,      79336,         105,           2,          12,,          23,          68,         813,         150,         620,          43,         132.3,           2.5,          15.1,,          29.0,          85.7,       1024.8,         189.1,         781.5,          54.2
Lakewood,CA,12,      81086,         225,           2,          11,,         110,         102,       2062,         419,       1356,         287,         277.5,           2.5,          13.6,,         135.7,         125.8,       2543.0,         516.7,       1672.3,         353.9
Lancaster,CA,12,     159792,         832,           9,          40,,         261,         522,       3495,       1062,       2030,         403,         520.7,           5.6,          25.0,,         163.3,         326.7,       2187.2,         664.6,       1270.4,         252.2
Lawndale,CA,12,      33234,         162,           1,           9,,          51,         101,         419,         151,         172,          96,         487.5,           3.0,          27.1,,         153.5,         303.9,       1260.8,         454.4,         517.5,         288.9
Lemon Grove,CA,12,      26156,         145,           1,           8,,          45,          91,         509,         120,         279,         110,         554.4,           3.8,          30.6,,         172.0,         347.9,       1946.0,         458.8,       1066.7,         420.6
Lemoore Police Dept,CA,12,      24802,         111,           0,           6,,          28,          77,         608,         112,         408,          88,         447.5,            .0,          24.2,,         112.9,         310.5,       2451.4,         451.6,       1645.0,         354.8
Lincoln Police Dept,CA,12,      44831,          25,           0,           6,,           7,          12,         553,         183,         326,          44,          55.8,            .0,          13.4,,          15.6,          26.8,       1233.5,         408.2,         727.2,          98.1
Lindsay Police Dept,CA,12,      13208,          40,           0,           1,,          12,          27,         310,          99,         161,          50,         302.8,            .0,           7.6,,          90.9,         204.4,       2347.1,         749.5,       1219.0,         378.6
Livermore Police Dept,CA,12,      84350,         270,           0,          12,,          44,         214,       1830,         387,       1275,         168,         320.1,            .0,          14.2,,          52.2,         253.7,       2169.5,         458.8,       1511.6,         199.2
Livingston Police Dept,CA,12,      13683,          33,           2,           1,,           2,          28,         196,          39,         127,          30,         241.2,          14.6,           7.3,,          14.6,         204.6,       1432.4,         285.0,         928.2,         219.3
Lodi Police Dept,CA,12,      63639,         287,           1,          11,,          89,         186,       2301,         634,       1302,         365,         451.0,           1.6,          17.3,,         139.9,         292.3,       3615.7,         996.2,       2045.9,         573.5
Loma Linda,CA,12,      23701,          61,           0,           1,,          10,          50,         721,         166,         402,         153,         257.4,            .0,           4.2,,          42.2,         211.0,       3042.1,         700.4,       1696.1,         645.5
Lomita,CA,12,      20622,          66,           0,           2,,          17,          47,         414,         114,         231,          69,         320.0,            .0,           9.7,,          82.4,         227.9,       2007.6,         552.8,       1120.2,         334.6
Lompoc Police Dept,CA,12,      43581,         188,           0,          17,,          31,         140,       1051,         311,         660,          80,         431.4,            .0,          39.0,,          71.1,         321.2,       2411.6,         713.6,       1514.4,         183.6
Long Beach Police Dept,CA,12,     469665,       2346,          34,         103,,       1118,       1091,      12999,       3776,       6868,       2355,         499.5,           7.2,          21.9,,         238.0,         232.3,       2767.7,         804.0,       1462.3,         501.4
Los Alamitos Police Dept,CA,12,      11735,          24,           0,           2,,          11,          11,         360,         108,         213,          39,         204.5,            .0,          17.0,,          93.7,          93.7,       3067.7,         920.3,       1815.1,         332.3
Los Altos Police Dept,CA,12,      30225,          23,           0,           5,,          13,           5,         358,          79,         262,          17,          76.1,            .0,          16.5,,          43.0,          16.5,       1184.4,         261.4,         866.8,          56.2
Los Angeles County Sheriff Department,CA,12,,       5323,          72,         171,,       1357,       3723,      16004,       4363,       8095,       3546,,,,,,,,,,
Los Angeles Police Dept,CA,12,   3878725,      16524,         251,         764,,       7885,       7624,      85844,      15728,      55734,      14382,         426.0,           6.5,          19.7,,         203.3,         196.6,       2213.2,         405.5,       1436.9,         370.8
Los Banos Dept Of Public Safety,CA,12,      36965,         109,           1,           3,,          31,          74,       1060,         257,         696,         107,         294.9,           2.7,           8.1,,          83.9,         200.2,       2867.6,         695.3,       1882.9,         289.5
Los Gatos Police Dept,CA,12,      30351,          25,           0,           3,,           5,          17,         551,         132,         376,          43,          82.4,            .0,           9.9,,          16.5,          56.0,       1815.4,         434.9,       1238.8,         141.7
Lynwood,CA,12,      71077,         436,           2,          14,,         189,         231,       1528,         325,         649,         554,         613.4,           2.8,          19.7,,         265.9,         325.0,       2149.8,         457.3,         913.1,         779.4
Madera County Sheriff Department,CA,12,,         367,           6,          28,,          18,         315,       1365,         666,         675,          24,,,,,,,,,,
Madera Police Dept,CA,12,      62973,         568,           7,          28,,         107,         426,       1855,         589,       1010,         256,         902.0,          11.1,          44.5,,         169.9,         676.5,       2945.7,         935.3,       1603.9,         406.5
Malibu,CA,12,      12891,          28,           0,           3,,          11,          14,         350,          81,         246,          23,         217.2,            .0,          23.3,,          85.3,         108.6,       2715.1,         628.3,       1908.3,         178.4
Manhattan Beach Police Dept,CA,12,      35930,          64,           0,           5,,          34,          25,         853,         194,         623,          36,         178.1,            .0,          13.9,,          94.6,          69.6,       2374.1,         539.9,       1733.9,         100.2
Manteca Police Dept,CA,12,      72261,         212,           0,           4,,          79,         129,       2699,         489,       1883,         327,         293.4,            .0,           5.5,,         109.3,         178.5,       3735.1,         676.7,       2605.8,         452.5
Marin County Sheriff Department,CA,12,,          99,           2,           7,,          12,          78,         710,         269,         440,           1,,,,,,,,,,
Marina Dept Of Public Safety,CA,12,      20426,          50,           0,           4,,          13,          33,         560,         234,         298,          28,         244.8,            .0,          19.6,,          63.6,         161.6,       2741.6,       1145.6,       1458.9,         137.1
Martinez Police Dept,CA,12,      36910,          53,           0,           3,,          17,          33,         824,         202,         441,         181,         143.6,            .0,           8.1,,          46.1,          89.4,       2232.5,         547.3,       1194.8,         490.4
Marysville Police Dept,CA,12,      12168,          87,           0,          10,,          17,          60,         539,         135,         269,         135,         715.0,            .0,          82.2,,         139.7,         493.1,       4429.7,       1109.5,       2210.7,       1109.5
Maywood Police Dept,CA,12,      27744,         112,           4,           4,,          32,          72,         320,          52,         132,         136,         403.7,          14.4,          14.4,,         115.3,         259.5,       1153.4,         187.4,         475.8,         490.2
Mcfarland,CA,12,      12288,          65,           1,           2,,          18,          44,         274,          88,          58,         128,         529.0,           8.1,          16.3,,         146.5,         358.1,       2229.8,         716.1,         472.0,       1041.7
Mendocino County Sheriff Department,CA,12,,         265,           4,          21,,          21,         219,         683,         309,         361,          13,,,,,,,,,,
Menlo Park Police Dept,CA,12,      33146,          53,           0,           3,,          18,          32,         644,         180,         436,          28,         159.9,            .0,           9.1,,          54.3,          96.5,       1942.9,         543.1,       1315.4,          84.5
Merced County Sheriff Department,CA,12,,         545,          17,          15,,          36,         477,       1833,         687,       1116,          30,,,,,,,,,,
Merced Police Dept,CA,12,      81329,         556,           5,          19,,         133,         399,       2647,         644,       1608,         395,         683.6,           6.1,          23.4,,         163.5,         490.6,       3254.7,         791.8,       1977.2,         485.7
Mill Valley Police Dept,CA,12,      14239,          11,           0,           0,,           2,           9,         229,          78,         143,           8,          77.3,            .0,            .0,,          14.0,          63.2,       1608.3,         547.8,       1004.3,          56.2
Milpitas Police Dept,CA,12,      69522,          93,           1,           8,,          56,          28,       2067,         291,       1491,         285,         133.8,           1.4,          11.5,,          80.6,          40.3,       2973.2,         418.6,       2144.6,         409.9
Mission Viejo,CA,12,      95895,          62,           0,           4,,          22,          36,         998,         156,         802,          40,          64.7,            .0,           4.2,,          22.9,          37.5,       1040.7,         162.7,         836.3,          41.7
Modesto Police Dept,CA,12,     204252,       1704,          14,          72,,         450,       1168,       9989,       2251,       6349,       1389,         834.3,           6.9,          35.3,,         220.3,         571.8,       4890.5,       1102.1,       3108.4,         680.0
Monrovia Police Dept,CA,12,      37071,          57,           0,           1,,          23,          33,         806,         128,         592,          86,         153.8,            .0,           2.7,,          62.0,          89.0,       2174.2,         345.3,       1596.9,         232.0
Montclair Police Dept,CA,12,      37785,         187,           2,          11,,          79,          95,       1623,         288,         962,         373,         494.9,           5.3,          29.1,,         209.1,         251.4,       4295.4,         762.2,       2546.0,         987.2
Montebello Police Dept,CA,12,      63566,         183,           2,          11,,          81,          89,       1756,         711,         549,         496,         287.9,           3.1,          17.3,,         127.4,         140.0,       2762.5,       1118.5,         863.7,         780.3
Monterey County Sheriff Department,CA,12,,         205,          12,          11,,          46,         136,       1412,         482,         906,          24,,,,,,,,,,
Monterey Police Dept,CA,12,      29338,         120,           1,          10,,          38,          71,       1108,         220,         835,          53,         409.0,           3.4,          34.1,,         129.5,         242.0,       3776.7,         749.9,       2846.1,         180.7
Monterey Park Police Dept,CA,12,      61152,         104,           0,           8,,          60,          36,       1162,         316,         637,         209,         170.1,            .0,          13.1,,          98.1,          58.9,       1900.2,         516.7,       1041.7,         341.8
Moorpark,CA,12,      35264,          37,           0,           3,,           7,          27,         409,          68,         315,          26,         104.9,            .0,           8.5,,          19.9,          76.6,       1159.8,         192.8,         893.3,          73.7
Moraga Police Dept,CA,12,      16664,          11,           0,           4,,           0,           7,         150,          37,          92,          21,          66.0,            .0,          24.0,,            .0,          42.0,         900.1,         222.0,         552.1,         126.0
Moreno Valley,CA,12,     201284,         638,          10,          31,,         312,         285,       5872,       1822,       3224,         826,         317.0,           5.0,          15.4,,         155.0,         141.6,       2917.3,         905.2,       1601.7,         410.4
Morgan Hill Police Dept,CA,12,      39907,          63,           1,          11,,          10,          41,         676,         162,         416,          98,         157.9,           2.5,          27.6,,          25.1,         102.7,       1693.9,         405.9,       1042.4,         245.6
Morro Bay Police Dept,CA,12,      10412,          31,           0,           3,,           1,          27,         171,          57,         105,           9,         297.7,            .0,          28.8,,           9.6,         259.3,       1642.3,         547.4,       1008.5,          86.4
Mountain View Police Dept,CA,12,      77399,         157,           0,          13,,          32,         112,       1706,         294,       1277,         135,         202.8,            .0,          16.8,,          41.3,         144.7,       2204.2,         379.8,       1649.9,         174.4
City Of Murrieta Police Dept,CA,12,     107768,          70,           1,          10,,          21,          38,       1640,         285,       1149,         206,          65.0,            .9,           9.3,,          19.5,          35.3,       1521.8,         264.5,       1066.2,         191.2
Napa County Sheriff Department,CA,12,,          39,           0,           5,,           4,          30,         372,         140,         229,           3,,,,,,,,,,
Napa Police Dept,CA,12,      78761,         255,           2,          26,,          47,         180,       1409,         304,         975,         130,         323.8,           2.5,          33.0,,          59.7,         228.5,       1789.0,         386.0,       1237.9,         165.1
National City Police Dept,CA,12,      59637,         314,           1,          11,,         137,         165,       1890,         286,       1189,         415,         526.5,           1.7,          18.4,,         229.7,         276.7,       3169.2,         479.6,       1993.7,         695.9
Nevada County Sheriff Department,CA,12,,         274,           2,          13,,           8,         251,         631,         353,         272,           6,,,,,,,,,,
Newark Police Dept,CA,12,      43950,         123,           1,           9,,          40,          73,       1062,         231,         658,         173,         279.9,           2.3,          20.5,,          91.0,         166.1,       2416.4,         525.6,       1497.2,         393.6
Newman Police Dept,CA,12,      10691,          36,           0,           0,,           4,          32,         198,          38,         124,          36,         336.7,            .0,            .0,,          37.4,         299.3,       1852.0,         355.4,       1159.9,         336.7
Newport Beach Police Dept,CA,12,      87639,          73,           2,           7,,          13,          51,       2158,         454,       1600,         104,          83.3,           2.3,           8.0,,          14.8,          58.2,       2462.4,         518.0,       1825.7,         118.7
Norco,CA,12,      27497,          42,           1,           2,,           7,          32,         594,         149,         367,          78,         152.7,           3.6,           7.3,,          25.5,         116.4,       2160.2,         541.9,       1334.7,         283.7
Norwalk,CA,12,     106518,         407,           6,          16,,         150,         235,       2246,         420,       1262,         564,         382.1,           5.6,          15.0,,         140.8,         220.6,       2108.6,         394.3,       1184.8,         529.5
Novato Police Dept,CA,12,      53735,         107,           0,           5,,          30,          72,         836,         215,         496,         125,         199.1,            .0,           9.3,,          55.8,         134.0,       1555.8,         400.1,         923.0,         232.6
Oakdale Police Dept,CA,12,      21340,          50,           0,           9,,          14,          27,         826,         239,         503,          84,         234.3,            .0,          42.2,,          65.6,         126.5,       3870.7,       1120.0,       2357.1,         393.6
Oakland Police Dept,CA,12,     403887,       7984,          90,         180,,       4922,       2792,      25176,       5058,      13285,       6833,       1976.8,          22.3,          44.6,,       1218.7,         691.3,       6233.4,       1252.3,       3289.3,       1691.8
Oakley,CA,12,      37824,          70,           0,           4,,          19,          47,         497,         137,         266,          94,         185.1,            .0,          10.6,,          50.2,         124.3,       1314.0,         362.2,         703.3,         248.5
Oceanside,CA,12,     172525,         634,           9,          41,,         182,         402,       4494,         677,       3417,         400,         367.5,           5.2,          23.8,,         105.5,         233.0,       2604.8,         392.4,       1980.6,         231.9
Ontario Police Dept,CA,12,     168144,         453,           9,          31,,         167,         246,       4507,         830,       2586,       1091,         269.4,           5.4,          18.4,,          99.3,         146.3,       2680.4,         493.6,       1538.0,         648.8
Orange County Sheriff Department,CA,12,,         241,           1,           9,,          23,         208,       1241,         261,         877,         103,,,,,,,,,,
Orange Police Dept,CA,12,     140304,         147,           4,           8,,          64,          71,       2418,         473,       1673,         272,         104.8,           2.9,           5.7,,          45.6,          50.6,       1723.4,         337.1,       1192.4,         193.9
Orinda,CA,12,      18520,          10,           0,           0,,           0,          10,         214,         103,         103,           8,          54.0,            .0,            .0,,            .0,          54.0,       1155.5,         556.2,         556.2,          43.2
Oroville Police Dept,CA,12,      15581,          78,           2,          10,,          26,          40,       1011,         258,         593,         160,         500.6,          12.8,          64.2,,         166.9,         256.7,       6488.7,       1655.9,       3805.9,       1026.9
Oxnard Police Dept,CA,12,     202594,         651,          15,          10,,         328,         298,       5074,         974,       3436,         664,         321.3,           7.4,           4.9,,         161.9,         147.1,       2504.5,         480.8,       1696.0,         327.7
Pacific Grove Police Dept,CA,12,      15518,          22,           0,           2,,           7,          13,         308,          84,         207,          17,         141.8,            .0,          12.9,,          45.1,          83.8,       1984.8,         541.3,       1333.9,         109.6
Pacifica Police Dept,CA,12,      38494,          66,           0,           8,,           7,          51,         546,         114,         361,          71,         171.5,            .0,          20.8,,          18.2,         132.5,       1418.4,         296.2,         937.8,         184.4
Palm Desert,CA,12,      50456,         110,           2,           7,,          30,          71,       2215,         572,       1511,         132,         218.0,           4.0,          13.9,,          59.5,         140.7,       4390.0,       1133.7,       2994.7,         261.6
Palm Springs Police Dept,CA,12,      46282,         255,           0,          19,,          99,         137,       2350,         712,       1342,         296,         551.0,            .0,          41.1,,         213.9,         296.0,       5077.6,       1538.4,       2899.6,         639.6
Palmdale,CA,12,     156522,         759,          10,          27,,         257,         465,       3344,       1049,       1928,         367,         484.9,           6.4,          17.2,,         164.2,         297.1,       2136.4,         670.2,       1231.8,         234.5
Palo Alto Police Dept,CA,12,      66964,          54,           0,           4,,          29,          21,       1483,         242,       1174,          67,          80.6,            .0,           6.0,,          43.3,          31.4,       2214.6,         361.4,       1753.2,         100.1
Palos Verdes Estates Police Dept,CA,12,      13658,           6,           0,           1,,           0,           5,         147,          54,          89,           4,          43.9,            .0,           7.3,,            .0,          36.6,       1076.3,         395.4,         651.6,          29.3
Paradise Police Dept,CA,12,      26222,          68,           1,          11,,           7,          49,         530,         214,         242,          74,         259.3,           3.8,          41.9,,          26.7,         186.9,       2021.2,         816.1,         922.9,         282.2
Paramount,CA,12,      54868,         222,           3,           8,,         122,          89,       1633,         266,         863,         504,         404.6,           5.5,          14.6,,         222.4,         162.2,       2976.2,         484.8,       1572.9,         918.6
Parlier Police Dept,CA,12,      14856,          91,           2,           6,,          18,          65,         375,         111,         156,         108,         612.5,          13.5,          40.4,,         121.2,         437.5,       2524.2,         747.2,       1050.1,         727.0
Pasadena Police Dept,CA,12,     139003,         434,           3,          25,,         162,         244,       3779,         939,       2553,         287,         312.2,           2.2,          18.0,,         116.5,         175.5,       2718.6,         675.5,       1836.7,         206.5
Paso Robles Police Dept,CA,12,      30795,         103,           2,           8,,           6,          87,         848,         211,         595,          42,         334.5,           6.5,          26.0,,          19.5,         282.5,       2753.7,         685.2,       1932.1,         136.4
Patterson Police Dept,CA,12,      20733,          41,           1,           2,,          26,          12,         631,         206,         327,          98,         197.8,           4.8,           9.6,,         125.4,          57.9,       3043.5,         993.6,       1577.2,         472.7
Perris,CA,12,      72171,         241,           6,           1,,         102,         132,       2038,         489,       1067,         482,         333.9,           8.3,           1.4,,         141.3,         182.9,       2823.8,         677.6,       1478.4,         667.9
Petaluma Police Dept,CA,12,      59224,         179,           0,          17,,          31,         131,       1013,         159,         778,          76,         302.2,            .0,          28.7,,          52.3,         221.2,       1710.5,         268.5,       1313.7,         128.3
Pico Rivera,CA,12,      63710,         207,           3,           7,,          65,         132,       1521,         262,         924,         335,         324.9,           4.7,          11.0,,         102.0,         207.2,       2387.4,         411.2,       1450.3,         525.8
Piedmont Police Dept,CA,12,      10963,          20,           0,           0,,          13,           7,         292,         116,         126,          50,         182.4,            .0,            .0,,         118.6,          63.9,       2663.5,       1058.1,       1149.3,         456.1
Pinole Police Dept,CA,12,      18848,          69,           2,           9,,          30,          28,         685,         128,         475,          82,         366.1,          10.6,          47.8,,         159.2,         148.6,       3634.3,         679.1,       2520.2,         435.1
Pittsburg Police Dept,CA,12,      66387,         185,           4,           2,,         111,          68,       2022,         567,         826,         629,         278.7,           6.0,           3.0,,         167.2,         102.4,       3045.8,         854.1,       1244.2,         947.5
Placentia Police Dept,CA,12,      52002,          66,           2,           6,,          16,          42,         784,         173,         531,          80,         126.9,           3.8,          11.5,,          30.8,          80.8,       1507.6,         332.7,       1021.1,         153.8
Placer County Sheriff Department,CA,12,,         262,           1,          28,,          13,         220,       1763,         640,       1083,          40,,,,,,,,,,
Placerville Police Dept,CA,12,      10339,          63,           0,           3,,           7,          53,         294,          92,         172,          30,         609.3,            .0,          29.0,,          67.7,         512.6,       2843.6,         889.8,       1663.6,         290.2
Pleasant Hill Police Dept,CA,12,      34044,          55,           0,           1,,          40,          14,       1469,         206,       1110,         153,         161.6,            .0,           2.9,,         117.5,          41.1,       4315.0,         605.1,       3260.5,         449.4
Pleasanton Police Dept,CA,12,      72975,          60,           0,           3,,          29,          28,       1281,         185,         979,         117,          82.2,            .0,           4.1,,          39.7,          38.4,       1755.4,         253.5,       1341.6,         160.3
Pomona Police Dept,CA,12,     151366,         809,          29,          31,,         295,         454,       4394,         847,       2591,         956,         534.5,          19.2,          20.5,,         194.9,         299.9,       2902.9,         559.6,       1711.7,         631.6
Port Hueneme Police Dept,CA,12,      21910,          57,           1,           4,,          11,          41,         405,         112,         251,          42,         260.2,           4.6,          18.3,,          50.2,         187.1,       1848.5,         511.2,       1145.6,         191.7
Porterville Police Dept,CA,12,      55267,         194,           8,           8,,          44,         134,       1506,         472,         801,         233,         351.0,          14.5,          14.5,,          79.6,         242.5,       2725.0,         854.0,       1449.3,         421.6
Poway,CA,12,      49444,          90,           0,           8,,          16,          66,         575,         170,         360,          45,         182.0,            .0,          16.2,,          32.4,         133.5,       1162.9,         343.8,         728.1,          91.0
Rancho Cucamonga,CA,12,     172262,         331,           1,          14,,         128,         188,       3824,       1374,       1972,         478,         192.1,            .6,           8.1,,          74.3,         109.1,       2219.9,         797.6,       1144.8,         277.5
Rancho Mirage,CA,12,      17816,          26,           0,           1,,           8,          17,         636,         156,         443,          37,         145.9,            .0,           5.6,,          44.9,          95.4,       3569.8,         875.6,       2486.5,         207.7
Rancho Palos Verdes,CA,12,      42542,          30,           0,           1,,           7,          22,         580,         175,         369,          36,          70.5,            .0,           2.4,,          16.5,          51.7,       1363.4,         411.4,         867.4,          84.6
Rancho Santa Margari,CA,12,      49190,          17,           0,           3,,           6,           8,         290,          77,         200,          13,          34.6,            .0,           6.1,,          12.2,          16.3,         589.6,         156.5,         406.6,          26.4
Red Bluff Police Dept,CA,12,      14170,         146,           3,           9,,          19,         115,         938,         291,         570,          77,       1030.3,          21.2,          63.5,,         134.1,         811.6,       6619.6,       2053.6,       4022.6,         543.4
Redding Police Dept,CA,12,      91035,         585,           2,          49,,         146,         388,       3774,         742,       2483,         549,         642.6,           2.2,          53.8,,         160.4,         426.2,       4145.7,         815.1,       2727.5,         603.1
Redlands Police Dept,CA,12,      70282,         215,           2,          15,,          84,         114,       3020,         605,       2047,         368,         305.9,           2.8,          21.3,,         119.5,         162.2,       4297.0,         860.8,       2912.6,         523.6
Redondo Beach Police Dept,CA,12,      67993,         160,           1,           4,,          43,         112,       1588,         309,       1146,         133,         235.3,           1.5,           5.9,,          63.2,         164.7,       2335.5,         454.5,       1685.5,         195.6
Redwood City Police Dept,CA,12,      79707,         190,           1,          26,,          66,          97,       1871,         507,       1138,         226,         238.4,           1.3,          32.6,,          82.8,         121.7,       2347.3,         636.1,       1427.7,         283.5
Reedley Police Dept,CA,12,      25018,         157,           0,           7,,          25,         125,         529,         173,         244,         112,         627.5,            .0,          28.0,,          99.9,         499.6,       2114.5,         691.5,         975.3,         447.7
Rialto Police Dept,CA,12,     102520,         434,           4,          19,,         192,         219,       2717,         798,       1148,         771,         423.3,           3.9,          18.5,,         187.3,         213.6,       2650.2,         778.4,       1119.8,         752.0
Richmond Police Dept,CA,12,     107341,       1112,          16,          35,,         407,         654,       4826,       1631,       1685,       1510,       1036.0,          14.9,          32.6,,         379.2,         609.3,       4496.0,       1519.5,       1569.8,       1406.7
Ridgecrest Police Dept,CA,12,      28537,         154,           4,           9,,          24,         117,         570,         212,         313,          45,         539.7,          14.0,          31.5,,          84.1,         410.0,       1997.4,         742.9,       1096.8,         157.7
Ripon Police Dept,CA,12,      14802,          15,           0,           1,,           5,           9,         342,          66,         253,          23,         101.3,            .0,           6.8,,          33.8,          60.8,       2310.5,         445.9,       1709.2,         155.4
Riverbank,CA,12,      23474,          37,           0,           1,,          13,          23,         685,         208,         400,          77,         157.6,            .0,           4.3,,          55.4,          98.0,       2918.1,         886.1,       1704.0,         328.0
Riverside County Sheriff Department,CA,12,,         692,          20,          30,,         142,         500,       7786,       2405,       4192,       1189,,,,,,,,,,
Riverside Police Dept,CA,12,     316423,       1330,          10,          78,,         495,         747,      10608,       1978,       6912,       1718,         420.3,           3.2,          24.7,,         156.4,         236.1,       3352.5,         625.1,       2184.4,         542.9
Rocklin Police Dept,CA,12,      59621,          62,           0,           5,,          17,          40,       1011,         273,         678,          60,         104.0,            .0,           8.4,,          28.5,          67.1,       1695.7,         457.9,       1137.2,         100.6
Rohnert Park Dept Of Public Safety,CA,12,      41326,         180,           1,          16,,          24,         139,         687,         136,         487,          64,         435.6,           2.4,          38.7,,          58.1,         336.3,       1662.4,         329.1,       1178.4,         154.9
Rosemead,CA,12,      54587,         149,           0,           6,,          65,          78,       1067,         288,         615,         164,         273.0,            .0,          11.0,,         119.1,         142.9,       1954.7,         527.6,       1126.6,         300.4
Roseville Police Dept,CA,12,     126236,         261,           1,          13,,          64,         183,       3343,         482,       2623,         238,         206.8,            .8,          10.3,,          50.7,         145.0,       2648.2,         381.8,       2077.9,         188.5
Sacramento County Sheriff Department,CA,12,,       3033,          30,         158,,       1027,       1818,      12011,       4211,       7683,         117,,,,,,,,,,
Sacramento Police Dept,CA,12,     478182,       3137,          34,          95,,       1158,       1850,      17980,       3886,      11233,       2861,         656.0,           7.1,          19.9,,         242.2,         386.9,       3760.1,         812.7,       2349.1,         598.3
